Config;Frequency;E_ext;E_arm;E_mem;E_g3d;E_kfc;instructions_k;i_k_stdev;instructions_u;i_u_stdev;cycles;cycles_stdev;time;time_stdev
big_global_idle_bigNet;800000;381.600;9.510080;6.201540;3.605993;1.101181;8179278;4.38;35300815;3.90;200880;1.99;10.006300060;0.00
big_global_idle_bigNet;900000;381.600;10.975516;6.200751;3.603626;1.102233;10894330;3.05;51316846;3.24;200899;2.02;10.006081131;0.00
big_global_idle_bigNet;1000000;385.200;12.672655;6.201277;3.608360;1.100392;8869519;5.56;39714120;6.05;200864;2.01;10.005660642;0.00
big_global_idle_bigNet;1100000;388.800;14.476046;6.203644;3.616776;1.101444;8285175;3.60;38194661;3.84;200880;2.02;10.005495998;0.00
big_global_idle_bigNet;1200000;392.400;16.480895;6.200488;3.621247;1.100392;6432031;12.88;31155049;13.08;200928;2.02;10.005388212;0.00
big_global_idle_bigNet;1300000;392.400;18.744799;6.200751;3.642024;1.100392;3209127;5.05;14410823;5.13;197836;0.51;10.005077868;0.00
big_global_idle_bigNet;1400000;396.00;20.275459;6.197332;3.625192;1.100392;3587033;11.18;16927586;12.92;197026;0.06;10.004967428;0.00
big_global_idle_bigNet;1500000;399.600;22.848388;6.199962;3.626770;1.100655;6056753;5.30;35274859;5.37;200858;2.02;10.004911548;0.00
big_global_idle_bigNet;1600000;410.400;31.344077;6.201803;3.662538;1.102496;6307121;5.27;39803589;5.17;201014;2.01;10.004782549;0.00
big_global_idle_bigNet;1700000;410.400;31.407723;6.204170;3.673321;1.103285;6988448;9.33;44868224;10.22;201010;2.00;10.004834155;0.00
big_global_idle_bigNet;1800000;417.600;36.632744;6.201540;3.679633;1.103285;6070324;5.31;38920120;4.98;204321;2.45;10.004715094;0.00
big_global_idle_bigNet;1900000;432.00;43.460487;6.202329;3.696991;1.104863;7016072;4.30;47437028;4.15;200881;2.02;10.004610955;0.00
big_global_idle_bigNet;2000000;446.400;54.812093;6.200751;3.697780;1.114068;6463938;5.38;45620897;5.26;200426;1.71;10.004674742;0.00
little_global_idle;200000;385.200;5.831499;6.266764;3.801928;1.259507;20156674;1.11;57288013;1.22;251666;13.42;10.021850778;0.00
little_global_idle;300000;385.200;5.520896;6.221791;3.729340;1.536446;18813920;1.75;58510131;1.95;301295;13.59;10.015885690;0.00
little_global_idle;400000;381.600;5.384136;6.207589;3.717242;1.825220;16435904;3.26;55505230;3.44;289625;13.22;10.012931271;0.00
little_global_idle;500000;381.600;5.346264;6.212849;3.717242;2.093480;15238218;1.78;55044744;1.96;290040;16.38;10.010994918;0.00
little_global_idle;600000;385.200;5.339426;6.194965;3.707511;2.722576;16936939;1.50;65843817;1.94;288999;16.53;10.009905977;0.00
little_global_idle;700000;385.200;5.338900;6.205748;3.708300;3.345623;16489140;2.64;66138518;2.75;277206;13.95;10.008911204;0.00
little_global_idle;800000;385.200;5.320227;6.193913;3.707511;3.939740;14303801;3.83;60378037;4.29;276857;14.71;10.008239743;0.00
little_global_idle;900000;388.800;5.339163;6.199173;3.707511;4.801328;14082525;1.78;62936800;1.83;297405;13.01;10.007967997;0.00
little_global_idle;1000000;388.800;5.340478;6.198910;3.707511;5.643717;14488153;2.79;68005209;2.82;294095;13.23;10.007443980;0.00
little_global_idle;1100000;388.800;5.313915;6.204959;3.707511;7.885529;20928427;2.44;105372120;2.57;310657;13.42;10.007104666;0.00
little_global_idle;1200000;385.200;5.322594;6.198647;3.707511;7.872379;18087629;3.80;94184556;3.85;292993;13.19;10.006803047;0.00
little_global_idle;1300000;388.800;5.361518;6.199699;3.699358;9.460636;16467761;2.00;90134132;2.00;295656;16.68;10.006724078;0.00
little_global_idle;1400000;388.800;5.385188;6.195491;3.707774;11.305055;15838748;1.58;91524709;1.82;282657;12.64;10.006578952;0.00
