Frequency;Cores;CacheSize;P_orig;P;P_dyn_orig;P_dyn;P_dyn_rest;P_dyn_mem_orig;P_dyn_mem;P_dyn_arm_orig;P_dyn_arm;P_idle;P_idle_kfc;P_idle_arm;rps_orig;rps;IPC_orig;IPC;memory_heaviness_orig;memory_heaviness;IPR_orig;IPR;measured_P;measured_rps;delta_rps_rel;delta_P_rel;delta_rps;delta_P
1200;1;32;5.085914644014575;5.087903310144323;1.095566401634096;1.0975550677638448;0.28603465911774706;0.02723027750331842;0.02715555734402881;0.7823014650130307;0.7843648513020689;3.990348242380479;0.08285076522202174;0.16195044433159736;16330.200042086975;16385.40754470316;0.4411959008595745;0.4421886020057746;0.0019111103774463775;0.0018967620072207615;32420.612097035177;32384.078391657873;5.237447805411709;17015.749855138754;0.038469736484483194;0.02939216532853961;630.3423104355934;0.1495444952673859
1300;1;32;5.235771066387626;5.238089547908011;1.2028235757253738;1.2051420572457583;0.2959618620585691;0.027547430275283342;0.027476545926655153;0.8793142833915213;0.8817036492605341;4.032947490662252;0.09650762552949528;0.19089283230589701;16593.476469942438;16652.04638345546;0.4138235876717572;0.4148162888179574;0.0019111103774463775;0.0018967620072207615;32420.612097035177;32384.078391657873;5.38783187998759;17402.557751897897;0.04507021846804978;0.02858720354244094;750.5113684424359;0.14974233207957877
1400;1;32;5.400213677180437;5.402842773445853;1.3198251710728583;1.3224542673382746;0.3040313767029419;0.02770640945966279;0.02763913761483037;0.9880873849102536;0.9907837530205024;4.080388506107578;0.11138391560708089;0.22345755767363754;16756.707275568107;16818.526734722305;0.38804479043197193;0.389037491578172;0.0019111103774463775;0.0018967620072207615;32420.612097035177;32384.078391657873;5.490017529006004;17329.6007860038;0.030387563628053654;0.01613497916108202;511.0740512814955;0.08717475556015142
1500;1;32;5.580738302861419;5.583658813226264;1.4480670141449616;1.4509875245098067;0.3102432030508654;0.0277246117798299;0.02766072913192765;1.1100991993142664;1.1130835923270137;4.132671288716457;0.1274796354547785;0.25964462043481906;16834.637855595563;16899.610629975716;0.3638595091402186;0.3648522102864188;0.0019111103774463775;0.0018967620072207615;32420.612097035177;32384.078391657873;5.63145283718017;17284.99950024607;0.02280460057386003;0.008559624710717322;385.38887027035526;0.047794023953906084
1600;1;32;5.778748305409242;5.781941029227911;1.588952466920353;1.5921451907390223;0.3145973411023396;0.027618358580974826;0.027557641823137156;1.2467367672370386;1.2499902078135454;4.189795838488889;0.14479478507258822;0.2994540205894415;16842.013606656397;16910.06010068768;0.34126774379649716;0.34226044494269736;0.0019111103774463775;0.0018967620072207615;32420.612097035177;32384.078391657873;6.1128624455001654;17065.50096454541;0.009192212383172336;0.057233620093915666;155.4408638577297;0.330921416272254
1700;1;32;5.995554582312837;5.999000318939727;1.7437924268879632;1.7472381635148522;0.3170937908573646;0.027402895830104572;0.027345121655465855;1.3992957402004942;1.4027992510020217;4.251762155424874;0.16332936446050994;0.3428857581375049;16793.5799253822;16864.637178330217;0.32026949440080776;0.32126219554700797;0.0019111103774463775;0.0018967620072207615;32420.612097035177;32384.078391657873;6.11487793977913;17244.43863445891;0.022520582691023482;0.019316155138975492;379.80145612869455;0.11587762083940323
1800;1;32;6.232375566571394;6.236055115360898;1.9138053270469804;1.9174848758364846;0.3177325523159402;0.027092394116042966;0.02703733921773755;1.5689803806149971;1.5727149843028068;4.318570239524413;0.18308337361854374;0.38993983307900915;16704.08220840454;16778.103894375323;0.3008647609531502;0.3018574620993504;0.0019111103774463775;0.0018967620072207615;32420.612097035177;32384.078391657873;6.435643860515831;17272.259421674262;0.029452405969699547;0.03200560955006601;494.155527298939;0.19958874515493275
1900;1;32;6.490337226694358;6.494231387000874;2.1001171359068542;2.10401129621337;0.3165136254780667;0.026699948649430795;0.026647389720593113;1.7569035617793567;1.7608502810147102;4.390220090787504;0.20405681254668956;0.4406162454139543;16588.26585235503;16665.222280295024;0.28305354345352474;0.28404624459972494;0.0019111103774463775;0.0018967620072207615;32420.612097035177;32384.078391657873;6.8363375573642715;17263.478680212807;0.035898495072889766;0.05267846954886324;598.2563999177837;0.3421061703633974
2e3;1;32;6.77047306670144;6.774562637879363;2.3037613574872924;2.3078509286652156;0.31343701034374394;0.02623757926272565;0.026187292996490065;1.964086767880823;1.9682266253249816;4.466711709214148;0.22624968124494746;0.4949149951423405;16460.87625386523;16540.754367561305;0.2668358419019311;0.2678285430481313;0.0019111103774463775;0.0018967620072207615;32420.612097035177;32384.078391657873;7.5102781674578365;17241.226279747098;0.04234824462175161;0.10859970877895285;700.4719121857925;0.7357155295784734
200;2;32;3.953925320445033;3.949524004815701;0.12327236688687229;0.11887105125754047;0.08458977340481666;0.009154191401372212;0.008929455562814194;0.029528402080683414;0.02535182228990962;3.8306529535581606;0.013350799503448882;0.07175512122785198;4746.2871455337945;4777.5056397822655;0.8354411533700297;0.8370145185164529;0.001775001879979899;0.0017522606695890624;35203.98693771281;35039.812890921035;4.044370813924041;4710.424893925041;-0.01404095587007651;0.024014744306577716;-67.08074585722443;0.09484680910833987
