Frequency;Cores;CacheSize;P;rps;measured_P;measured_rps;delta_rps_rel;delta_P_rel;delta_rps;delta_P
1700;1;32;6.232695582343931;16594.982933256833;6.11487793977913;17244.43863445891;0.03913566550891411;-0.018903160118802605;649.4557012020778;-0.11781764256480098
1800;1;32;6.558518179020268;16322.332044621755;6.435643860515831;17272.259421674262;0.058198018178751004;-0.018735073251377764;949.9273770525069;-0.12287431850443742
1900;1;32;6.932952743334647;15939.10304727514;6.8363375573642715;17263.478680212807;0.08308972148618327;-0.013935647558431996;1324.3756329376665;-0.09661518597037588
2e3;1;32;7.360680570719385;15445.295941216995;7.5102781674578365;17241.226279747098;0.11627684865121428;0.02032388110055302;1795.9303385301027;0.14959759673845152
200;2;32;4.109149304461167;7538.530803065583;4.044370813924041;4710.424893925041;-0.37515345934389205;-0.01576445286784741;-2828.1059091405423;-0.06477849053712603
300;2;32;4.2675478384447585;8924.5515451035;4.148724199415305;6798.958045583915;-0.23817370416621136;-0.027843540020574598;-2125.5934995195857;-0.11882363902945325
400;2;32;4.404338908581655;10199.994178429884;4.248684461315194;8709.890244598593;-0.14608870434283594;-0.03534116027337854;-1490.1039338312912;-0.15565444726646138
500;2;32;4.524203810304174;11364.858703044736;4.3524106378705065;10377.707767931584;-0.08685993912521642;-0.03797202328559936;-987.1509351131517;-0.17179317243366743
600;2;32;4.63182383904463;12419.145118948052;4.459729702836921;11911.671214842207;-0.04086222515683354;-0.03715472396791436;-507.4739041058456;-0.17209413620770864
700;2;32;4.731880290235339;13362.853426139836;4.56176569238684;13338.496176569706;-0.0018227581185978948;-0.03595073996262041;-24.35724957013008;-0.17011459784849947
800;2;32;4.829054459308617;14195.983624620088;4.70301742587719;14596.577982238332;0.028218851768995627;-0.02609973329012148;400.5943576182435;-0.1260370334314267
900;2;32;4.928027641696779;14918.535714388809;4.878869909304251;15944.019311451802;0.06873889077960399;-0.0099751332514041;1025.4835970629938;-0.049157732392528075
1e3;2;32;5.033481132832142;15530.509695445991;5.101738605271639;17177.57106152067;0.10605327180972342;0.013560689041679494;1647.0613660746785;0.06825747243949731
