Config;Sets;SetMisses;Gets;GetMisses;CacheSize;CacheThreads;Frequency;E_ext;E_arm;E_mem;E_g3d;E_kfc;t_user;t_system;t_wall;perc_cpu;size_resident;cycles;instructions_k;instructions_u;LLC-store;LLC-store-misses;LLC-loads;LLC-load-misses;memoryHeaviness;instructions_adj;instructions;IPR;IPC;P_dyn_Rest;P_Rest;P_dyn_g3d;P_dyn_mem;P_dyn_kfc;P_dyn_arm;P_kfc;P_g3d;P_arm;P_mem;rps;EperRequest;uIPC;kIPC;uIPR;kIPR;instructions_u_adj;instructions_k_adj;P_ext;P;E_total;requests
big;200064;0;1799936;1499201;32;1;1900;792;254.392536;10.361674;4.713486;1.939099;11.93;64.2;115.851505774;65;37256;341365923200;59089958172;6766361340;949446711;30135994;3867682374;88809105;0.0018061303741446777;64613315462.54251;65856319512;32928.159756;0.2991866231191302;0.8473125699308652;4.493624847790578;0.0036853749028386354;0.027204721760412602;0;1.75523381540668;0.016737797122660988;0.040685582535240766;2.1958500608206344;0.08943926909515769;17263.478680212807;1.357033975e-4;0.030739719667291096;0.2684469034518391;3383.18067;29544.979086;5706730930.442505;58906584532.100006;6.8363375573642715;2.3427127095736937;271.406795;2000000
big;200064;0;1799936;1498618;32;1;2000;871.2;311.539017;10.415589;4.814478;2.140557;11.39;62.7;116.001029599;63;37256;351119121160;59168182814;6795768301;959468220;31312040;3939357888;88817180;0.0018211343918827655;64719342781.51768;65963951115;32981.9755575;0.28432485186997275;1.0285631165624314;4.674875394422144;0.004503544676030001;0.027554216058177324;0;2.1907423483911486;0.018452913800848306;0.04150375230843213;2.685657343533489;0.08978876339292241;17241.226279747098;1.6445482050000002e-4;0.029291844755568373;0.25503300711440435;3397.8841505;29584.091407;5734770278.7311735;58984572502.78651;7.5102781674578365;2.835402773035692;328.909641;2000000
big;200064;0;1799936;1498578;32;2;200;1717.2;83.676869;31.421925;15.865475;5.197406;91.42;409.95;424.590147394;117;37284;202892507193;65467476279;6978812981;951282612;37589372;3873770711;99025893;0.0018857455143037921;67890739730.9326;72446289260;36223.14463;0.8531320110069959;0.07736886430506296;3.7236811421647755;3.663565645705691e-4;0.011770761532777722;0;0.1253216821638003;0.012240995303117687;0.0373665641969727;0.1970768033916523;0.07400530886752281;4710.424893925041;6.80808375e-5;0.08218293598937407;0.7709490750176218;3489.4064905;32733.7381395;3095318944.635457;64795420786.29714;4.044370813924041;0.3206896717592655;136.161675;2000000
big;200064;0;1799936;1498349;32;2;300;1220.4;76.418332;22.614844;11.04337;3.589424;60.19;239.53;294.162721198;101;37208;195501859618;61997977499;6952537807;863451909;35012609;3517613002;95881412;0.0018983762546095104;65794359059.21077;68950515306;34475.257653;0.7813194346448094;0.11600684093529257;3.762319118795005;5.414970235278829e-4;0.014644140446967484;0;0.19530838132300907;0.012202171591906;0.037541704655930014;0.2597825165907514;0.07687868778171257;6798.958045583915;5.6832985e-5;0.07878335476688167;0.7025360798779277;3476.2689035;30998.9887495;4261992158.4380617;61532366900.772705;4.148724199415305;0.38640508062029993;113.66597;2000000
big;200064;0;1799936;1498126;32;2;400;975.6;74.263573;18.259038;8.677948;2.907991;46.64;173.52;229.624018654;95;37352;196667102900;60327840783;6955248277;848509976;32841870;3460139198;93438820;0.001876856306157237;64819387072.419266;67283089060;33641.54453;0.7325354012876905;0.14898516144332907;3.7952974393030416;7.917796817648107e-4;0.017282561141232423;0;0.2625982982997941;0.012664141221140254;0.03779198731416694;0.3234137850008677;0.07951710847597751;8709.890244598593;5.2054275e-5;0.07572431139575435;0.6568110898919362;3477.6241385;30163.9203915;4855002869.700492;59964384202.71877;4.248684461315194;0.4533870220121524;104.10855;2000000
big;200064;0;1799936;1497767;32;2;500;838.8;74.488175;15.696629;7.304562;2.490084;37.65;141.17;192.720786201;92;37220;203082937286;60012180999;6980826153;851994132;31772703;3452377085;92315172;0.0018522511568775802;64925250534.923416;66993007152;33496.503575999996;0.6952338507184067;0.18731960256153046;3.833631880421243;9.020972719668077e-4;0.019212967017075;0;0.32572908063042777;0.012920682034801076;0.03790230490436894;0.3865082561582736;0.08144751435182009;10377.707767931584;4.9989725e-5;0.07244497379456806;0.6227888769238387;3490.4130765;30006.0904995;5218114445.041876;59707136089.88154;4.3524106378705065;0.5187787574492637;99.97945;2000000
big;200064;0;1799936;1499211;32;2;600;748.8;75.575417;14.00475;6.386955;2.183163;32.84;123;167.902552373;92;37348;212516633468;59914617895;6994881666;866025413;31136838;3501529040;90387021;0.0018162422346203505;65108024896.34592;66909499561;33454.7497805;0.6641699666002174;0.22885046269568;3.8751627405553926;0.0010394463795941264;0.021175441388285608;0;0.3857495578662392;0.013002559932204278;0.03803965401199626;0.4501147596142982;0.0834099887230307;11911.671214842207;4.90751425e-5;0.06943394216009975;0.5947360244401176;3497.440833;29957.3089475;5459168779.506993;59648856116.83892;4.459729702836921;0.5845669622815294;98.150285;2000000
big;200064;0;1799936;1498388;32;2;700;684;76.989042;12.753922;5.738397;1.950671;29.09;110.23;149.941940495;92;37336;221857646104;60052889113;7003216683;870759116;31110867;3491589642;89912420;0.0018048063716700237;65447335690.04746;67056105796;33528.052898;0.6388768648397141;0.2656550213734197;3.9119672992331322;0.0012705855896674029;0.02282452258188903;0;0.4418854558156691;0.013009508837622703;0.038270793222069534;0.5134590211773822;0.08505906991663412;13338.496176569706;4.8716016e-5;0.0667231278213462;0.5721537370183679;3501.6083415;30026.4445565;5631779697.739686;59815555992.30778;4.56176569238684;0.6497983931537087;97.432032;2000000
big;200064;0;1799936;1498935;32;2;800;644.4;83.101688;11.842364;5.237908;1.781299;25.16;103.92;137.018416401;93;37312;233621973010;60229135024;7000749045;878077066;31479451;3547584923;90178805;0.0018095859852314867;65759774161.50393;67229884069;33614.9420345;0.6133289034687506;0.31254781735914605;3.9588600952188586;0.0012275586604928793;0.024194447475280843;0;0.5240958683050116;0.01300043488159158;0.03822776629289501;0.6065001346738197;0.08642899481002593;14596.577982238332;5.0981629500000004e-5;0.06386686210588939;0.5494620413628611;3500.3745225;30114.567512;5747516471.820144;60012257689.683784;4.70301742587719;0.7441573306583322;101.96325900000001;2000000
big;200064;0;1799936;1498074;32;2;900;612;90.422293;11.079138;4.77608;1.648221;24.45;102.02;125.438884696;100;37308;249161117284;60474458074;6992289500;894226077;32104472;3680305340;90922782;0.0018235243052891975;66120877784.95534;67466747574;33733.373787000004;0.5976061812226111;0.37217265383925335;4.018484931698966;0.0010747482441172337;0.026088447778374664;0;0.6239900881195326;0.0131396337267702;0.038074955876519365;0.7208473928888766;0.08832299511311975;15944.019311451802;5.3962866000000005e-5;0.061936221566256486;0.5356699596563547;3496.14475;30237.229037;5844968575.020808;60275909209.93453;4.878869909304251;0.860384977605286;107.92573200000001;2000000
